sample_index,zip_path,crossings,time_seconds,return_code,status,timed_out,resource_limited,final_crossings,final_pd_code,mid_simplification_rounds,heuristic_failover_rounds,reidemeister_i_moves,reidemeister_ii_moves,reidemeister_iii_moves,nugatory_crossing_moves,tested_red_paths,tested_green_paths,last_path_search_mode,error
78,pd_code/data.random_knot_3089,193,30.456723999988753,0,ok,False,False,0,PD[],8,0,60,46,1,9,85,5208,bruteforce,
79,pd_code/data.random_knot_747,371,48.89910840000084,0,ok,False,False,0,PD[],24,0,61,89,1,2,141,18686,bruteforce,
80,pd_code/data.random_knot_3392,295,110.4531161999912,0,ok,False,False,0,PD[],26,0,56,35,1,2,311,38098,bruteforce,
81,pd_code/data.random_knot_1680,220,24.829362600008608,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",14,0,68,47,1,8,161,4539,bruteforce,
82,pd_code/data.random_knot_328,200,19.81577789998846,0,ok,False,False,0,PD[],32,0,50,4,1,4,593,25340,bruteforce,
83,pd_code/data.random_knot_2290,244,23.115034599992214,0,ok,False,False,0,PD[],36,0,48,0,0,6,368,28606,bruteforce,
84,pd_code/data.random_knot_2834,248,85.00492730000406,0,ok,False,False,5,"PD[X[1,6,2,7],X[3,8,4,9],X[5,10,6,1],X[7,4,8,5],X[9,2,10,3]]",42,0,46,0,1,5,28909,483634,bruteforce,
85,pd_code/data.random_knot_4900,206,28.38327659999777,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",37,0,67,0,0,0,690,68813,bruteforce,
86,pd_code/data.random_knot_2081,232,22.63778679999814,0,ok,False,False,0,PD[],19,0,63,59,2,1,450,16413,bruteforce,
87,pd_code/data.random_knot_1937,299,78.41944519999379,0,ok,False,False,6,"PD[X[1,5,2,4],X[3,1,4,12],X[5,3,6,2],X[7,11,8,10],X[9,7,10,6],X[11,9,12,8]]",20,0,48,83,1,6,29335,414555,bruteforce,
88,pd_code/data.random_knot_353,304,26.178731499996502,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",23,0,71,58,1,1,494,31877,bruteforce,
89,pd_code/data.random_knot_1125,164,7.155231400000048,0,ok,False,False,0,PD[],30,0,57,0,0,6,377,30525,bruteforce,
90,pd_code/data.random_knot_2909,243,21.111838799988618,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",9,0,76,63,1,0,82,1545,bruteforce,
91,pd_code/data.random_knot_4205,252,17.149855199997546,0,ok,False,False,0,PD[],46,0,44,0,0,1,387,23398,bruteforce,
92,pd_code/data.random_knot_2801,259,67.88082700000086,0,ok,False,False,4,"PD[X[1,4,2,5],X[3,7,4,6],X[5,8,6,1],X[7,3,8,2]]",19,0,54,47,1,2,299,27938,bruteforce,
93,pd_code/data.random_knot_1178,235,52.47202169999946,0,ok,False,False,7,"PD[X[1,13,2,12],X[3,14,4,1],X[5,8,6,9],X[7,4,8,5],X[9,6,10,7],X[11,3,12,2],X[13,10,14,11]]",12,0,46,63,1,7,27384,317490,bruteforce,
94,pd_code/data.random_knot_4711,306,41.994906699997955,0,ok,False,False,0,PD[],24,0,67,67,1,1,276,25992,bruteforce,
95,pd_code/data.random_knot_3467,211,25.865496200000052,0,ok,False,False,3,"PD[X[2,6,3,5],X[4,2,5,1],X[6,4,1,3]]",21,0,60,24,1,1,318,7241,bruteforce,
96,pd_code/data.random_knot_2109,287,88.1041331999877,0,ok,False,False,4,"PD[X[1,6,2,7],X[3,1,4,8],X[5,2,6,3],X[7,5,8,4]]",31,0,57,39,1,7,533,60153,bruteforce,
97,pd_code/data.random_knot_4031,162,27.18721450000885,0,ok,False,False,3,"PD[X[1,5,2,4],X[3,1,4,6],X[5,3,6,2]]",9,0,70,21,1,6,202,17259,bruteforce,
98,pd_code/data.random_knot_1132,305,22.770110500001465,0,ok,False,False,4,"PD[X[1,5,2,4],X[3,6,4,7],X[5,1,6,8],X[7,2,8,3]]",8,0,71,89,1,3,117,1053,bruteforce,
99,pd_code/data.random_knot_4573,240,16.378842799997074,0,ok,False,False,0,PD[],26,0,58,0,0,5,458,36952,bruteforce,
100,pd_code/data.random_knot_725,266,66.46268510000664,0,ok,False,False,3,"PD[X[1,4,2,5],X[3,6,4,1],X[5,2,6,3]]",38,0,49,0,0,6,477,53506,bruteforce,
